customer_city,unique_customers,total_orders,total_revenue,latitude,longitude,avg_order_value,avg_customer_value
alto piquiri,1,1,432.5,-24.032267622640834,-53.43985746757152,432.5,432.5
alto rio doce,2,2,201.54,-21.023159198844187,-43.41263491879728,100.77,100.77
alto rio novo,2,2,327.23,-19.05822235499108,-41.01879814974316,163.615,163.615
alto santo,3,3,801.01,-5.519712483344855,-38.26737385532684,267.00333333333333,267.00333333333333
alto sao joao,1,1,73.25,,,73.25,73.25
alto taquari,3,3,821.17,-17.831339487997212,-53.28242914765827,273.7233333333333,273.7233333333333
altonia,1,1,118.43,-23.872113354531503,-53.89365493932053,118.43,118.43
altos,2,2,364.48,-5.037933605097157,-42.45957464672137,182.24,182.24
aluminio,7,7,1373.93,-23.523865508829502,-47.2566134724933,196.2757142857143,196.2757142857143
alvarenga,2,2,245.10999999999999,-19.417557882438132,-41.72756415518321,122.55499999999999,122.55499999999999
alvares florence,1,1,194.88,-20.32133154751638,-49.90855487631705,194.88,194.88
alvares machado,5,5,3697.2,-22.07699368740586,-51.46756282500047,739.4399999999999,739.4399999999999
alvaro de carvalho,2,2,399.0,,,199.5,199.5
alvinopolis,8,8,1099.63,,,137.45375,137.45375
alvorada,28,28,5587.41,-28.554776660298618,-50.64761285183446,199.55035714285714,199.55035714285714
alvorada d'oeste,1,1,860.2,-11.349470744463781,-62.2869731930518,860.2,860.2
alvorada do gurgueia,1,1,87.85,,,87.85,87.85
alvorada do norte,2,2,161.72,-14.485339149785249,-46.506223797764335,80.86,80.86
amambai,2,2,497.44,-23.091896511618213,-55.22776222689038,248.72,248.72
amanari,1,1,419.39,-3.504514941264218,-39.57289793990247,419.39,419.39
amapora,2,2,242.87,-23.0949971618552,-52.78673515900602,121.435,121.435
amaraji,2,2,521.89,-8.376909914843816,-35.451891714402564,260.945,260.945
amelia rodrigues,1,1,47.06,-12.401074390408349,-38.75449544203782,47.06,47.06
america dourada,1,1,217.92,-11.45534706517941,-41.45792194795551,217.92,217.92
americana,126,126,22283.02,-22.736590835743336,-47.315958285426,176.84936507936507,176.84936507936507
americano do brasil,2,2,205.32,-16.25358822328803,-49.981568965848076,102.66,102.66
americo brasiliense,8,8,2044.5400000000002,-21.733215089379517,-48.1099398816381,255.56750000000002,255.56750000000002
americo de campos,1,1,293.36,-20.299358944929477,-49.73264497409821,293.36,293.36
